iata_code;icao_code;name_eng;city_eng;страна_англ
AEX;KAEX;Александрия Интернэшнл;Александрия, Луизиана;Соединенные Штаты
AEY;BIAR;Акюрейри;Акюрейри;Исландия
AFA;SAMR;Сан-Рафаэль;Сан-Рафаэль;Аргентина
AFD;FAPA;Порт-Альфред;Порт-Альфред;Южная Африка
AFF;KAFF;Взлетно-посадочная полоса Академии ВВС США;Колорадо-Спрингс;Соединенные Штаты
AFI;SKAM;Амальфи;Амальфи;Колумбия
AFK;KAFK;Кондаваттаван Танк;Он учит;Шри-Ланка
AFL;SBAT;Высокий Лес;Высокий Лес;Бразилия
AFN;KAFN;Муниципальный;Джеффри;Соединенные Штаты
AFO;KAFO;Муниципальный;Афтон;Соединенные Штаты
AFR;;Прежде;Прежде;Папуа - Новая Гвинея
AFS;UTSN;Зарафшан;Зарафшан;Узбекистан
AFT;AGAF;Аэродром Афутара;Афутара;Соломоновы острова
AFW;KAFW;Альянс Форт-Уэрта;Форт-Уэрт, Техас;Соединенные Штаты
AFY;LTAH;Опиум;Опиум;Турция
AFZ;OIMS;Сабзевар;Сабзевар;Иран
AGA;GMAD;Агадир Альмассира;Агадир;Марокко
AGB;EDMA;Аугсбург - Мюльхаузен;Мюнхен;Германия
AGC;KAGC;Округ Аллегейни;Питтсбург;Соединенные Штаты
AGD;WASG;Энджи;Энджи;Индонезия
AGE;EDWG;аэродром;Вангероге;Германия
AGF;LFBA;Смотритель;Агент;Франция
AGG;;Ангорам;Ангорам;Папуа - Новая Гвинея
AGH;ESTA;Энгельхольм;Ангелхольм/Хельсингборг;Швеция
AGI;SMWA;Вагенинген;Вагенинген;Суринам
AGJ;RORA;Агуни;Агуни;Япония
AGK;;Проверьте это;Проверьте это;Папуа - Новая Гвинея
AGL;;Нигерийцы;Нигерийцы;Папуа - Новая Гвинея
AGM;BGAM;Тасиилак;Тасиилак;Гренландия
AGN;PAGN;Власть;Власть;Соединенные Штаты
AGO;KAGO;Муниципальный;Магнолия;Соединенные Штаты
AGP;LEMG;Пабло Руис Пикассо;Путешествие;Испания
AGQ;LGAG;Агринион;Агринион;Греция
AGR;VIAG;Херия;Агра;Индия
AGS;KAGS;Буш Филд;Августа;Соединенные Штаты
AGT;SGES;Алехо Гарсия;Восточный город;Парагвай
AGU;MMAS;Агуаскальентес;Агуаскальентес;Мексика
AGV;SVAC;Акаригуа;Акаригуа;Венесуэла
AGW;;Агнью;Агнью;Австралия
AGX;VOAT;Остров Агатти;Остров Агатти;Индия
AGY;;Аргайл Даунс;Аргайл Даунс;Австралия
AGZ;FAAG;Аггенейс;Аггенейс;Южная Африка
AHA;RORG;База ВВС Наха;Окинава;Япония
AHB;OEAB;Абха;Абха;Саудовская Аравия
AHC;KAHC;Амеди АФ;Херлонг;Норвегия
AHD;KAHD;Центр города;Ардмор;Соединенные Штаты
AHE;NTHE;Ахе аэропорт;Ахе;Французская Полинезия
AHF;;Муниципальный;Арапахо;Гватемала
AHH;KAHH;Муниципальный;Эмери;Соединенные Штаты
AHI;WAPA;Амахай;Амахай;Индонезия
AHL;SYAH;Айшалтон;Айшалтон;Гайана
AHN;KAHN;Афины;Афины;Греция
AHO;LIEA;Фертилия;Альгеро;Италия
AHS;MHAH;Ах;Ах;Гондурас
AHT;PHKO;Амчитка;Амчитка;Соединенные Штаты
AHU;GMTA;Чариф Аль Идрисси;Аль-Хосейма;Марокко
AHY;;Амбатолахи;Амбатолахи;Мадагаскар
AHZ;LFHU;Альп д'Юэз;Альп д'Юэз;Франция
AIA;KAIA;Альянс;Альянс;Соединенные Штаты
AIB;SNHN;Анита Бэй;Анита Бэй;Соединенные Штаты
AIC;;Айрок;Айрок, Айлинглаплап;Маршалловы острова
AID;KAID;Муниципальный;Андерсон;Соединенные Штаты
AIE;AYAO;Собирались;Собирались;Папуа - Новая Гвинея
AIF;SNAX;Сидел;Сидел;Бразилия
AIG;FEFY;Это было как;Это было как;Центрально-Африканская Республика
AIH;OPKC;Аямба;Аямба;Папуа - Новая Гвинея
AII;HDAS;Алисабие;Алисабие;Джибути
AIK;KAIK;Муниципальный;Эйкен;Соединенные Штаты
AIL;;Алиганди;Алиганди;Панама
AIM;;Остров Айлюк;Остров Айлюк;Маршалловы острова
AIN;PAWI;Уэйнрайт;Уэйнрайт;Соединенные Штаты
AIO;KAIO;Муниципальный;Атлантический;Соединенные Штаты
AIP;VIAX;Остров Айлинглапалап;Остров Айлинглапалап;Маршалловы острова
AIR;SSOU;арипуана;арипуана;Бразилия
AIS;NGTR;Остров Арораэ;Остров Арораэ;Кирибати
AIT;NCAI;Не в сети;Не в сети;Острова Кука
AIU;NCAT;Остров Атиу;Остров Атиу;Острова Кука
AIV;KAIV;Джордж Даунер;Алисвилль;Соединенные Штаты
AIW;OPKC;иметь-иметь;иметь-иметь;Намибия
AIY;KAIY;Бадер Филд;Атлантик-Сити;Соединенные Штаты
AIZ;KAIZ;Мемориал Ли Си Файна;Кайзер/озеро Озарк;Соединенные Штаты
AJA;LFKJ;Поле золота;Аяччо;Франция
AJF;OESK;Джоуф;Сакака Аль-Джуф;Саудовская Аравия
AJI;LTCO;Аири;Агри;Италия
AJJ;GQNJ;Акджоут;Акджоут;Мавритания
AJK;OIHR;Араак;Араак;Иран
AJL;VELP;Айзавл;Айзавл;Индия
AJN;FMCV;Уани;Анжуан;Коморские острова
AJO;;Алжуф;Алжуф;Йемен
AJR;ESNX;Арвидсъяур;Арвидсъяур;Швеция
AJS;;Абреохос;Абреохос;Мексика
AJU;SBAR;Санта Мария;Аракажу;Бразилия
AJY;DRZA;Агадес;Агадес;Нигер
AKA;ZLAK;Анькан;Анькан;Китай
AKB;PAAK;клещ;клещ;Соединенные Штаты
AKC;KAKR;Фултон Интернэшнл;Акрон/Кантон;Южная Африка
AKD;VAAK;Делал;Делал;Индия
AKE;;Покойся с миром;Покойся с миром;Габон
AKF;HLKF;Куфра;Куфра;Ливия
AKG;;Ангуганак;Ангуганак;Папуа - Новая Гвинея
AKH;OEPS;Авиабаза Принц Султан;Аль-Харидж;Саудовская Аравия
AKI;PFAK;Аки;Аки;Соединенные Штаты
AKJ;RJEC;Асахикава;Асахикава;Япония
AKK;PAKH;Akhiok SPB;Ахиок;Соединенные Штаты
AKL;NZAA;Окленд Интернэшнл;Окленд;Новая Зеландия
AKM;;Закума;Закума;Чад
AKN;PAKN;Король Лосось;Король Лосось;Соединенные Штаты
AKO;KAKO;Региональный аэропорт Колорадо-Плейнс;Акрон, Колорадо;Соединенные Штаты
AKP;PAKP;Анактувук;Анактувук;Соединенные Штаты
AKQ;WIAG;Внутренняя гора;Astraksetra;Индонезия
AKR;DNAK;Акуре;Акуре;Нигерия
AKT;LCRA;Акротири Раф;Акротири;Кипр
AKU;ZWAK;Аксу;Аксу;Китай
AKV;CYKO;Акуливик;Акуливик;Канада
AKW;OIAG;Агаджари;Агаджари;Иран
AKX;UATT;Aktyubinsk;Aktyubinsk;Казахстан
AKY;VYSW;Гражданский;Ситуэ;Мьянма
ALA;UAAA;Алматы;Алматы;Казахстан
ALB;KALB;Олбани Интернэшнл;Олбани;Соединенные Штаты
ALC;LEAL;Аликанте Эль Альтет;Аликанте;Испания
ALD;SPAR;Тревога;Тревога;Перу
ALE;;Альпийский;Альпийский;Соединенные Штаты
ALF;ENAT;высокий;высокий;Норвегия
ALG;DAAG;Хуари Бумедьен;Алжир;Алжир
ALH;YABA;Олбани;Олбани;Австралия
ALI;KALI;Международный;Алиса;Соединенные Штаты
ALJ;FAAB;Кортдорн;Александр Бэй;Южная Африка
ALK;;Асела;Асела;Эфиопия
ALL;LIMG;Альбенга;Альбенга;Италия
ALM;KALM;Муниципальный;Аламогордо;Соединенные Штаты
ALN;KALN;Альтон;Альтон;Соединенные Штаты
ALO;KALO;Ватерлоо;Ватерлоо;Соединенные Штаты
ALP;OSAP;Неджраб;Алеппо;Сирия
ALQ;SSLT;Федеральный;болельщик;Бразилия
ALR;NZLX;Александра;Александра;Новая Зеландия
ALS;KALS;Муниципальный;Аламоса;Соединенные Штаты
ALT;SDWQ;Аленкер;Аленкер;Бразилия
ALU;HCMA;Они непростые;Они непростые;Сомали
ALV;;Андорра-ла-Велья H/P;Андорра-ла-Велья;Андорра
ALW;KALW;Уолла Уолла;Уолла Уолла;Соединенные Штаты
ALX;KALX;Томас С. Рассел Флд;Александр Сити;Соединенные Штаты
ALY;HEAX;ноза;Александрия;Египет
ALZ;KALZ;Он хотел СПБ;Он хотел;Соединенные Штаты
AMA;KAMA;Рик Хасбэнд Амарилло Интернэшнл;Амарилло, Техас;Соединенные Штаты
AMB;FMNE;Амбилобе;Амбилобе;Мадагаскар
AMC;FTTN;Ам Тиман;Ам Тиман;Чад
AMD;VAAH;Ахмадабад;Ахмедабад;Индия
AME;;верхний молок;верхний молок;Мозамбик
AMF;;Или;Или;Папуа - Новая Гвинея
AMG;;Амбоин;Амбоен;Папуа - Новая Гвинея
AMH;HAAM;Арба Минч;Арба Минч;Эфиопия
AMI;WADA;Селапаранг;Матарам;Индонезия
AMJ;SNAR;Маяк;Маяк;Бразилия
AMK;;Анимас Эйрпарк;Дуранго;Соединенные Штаты
AML;;в Пуэрто-Армуэлье;в Пуэрто-Армуэлье;Панама
AMM;OJAI;Международный аэропорт Королева Алия;Амман;Иордания
AMN;KAMN;Сообщество Гратиот;Альма;Соединенные Штаты
AMO;FTTU;является;является;Чад
AMP;FMSY;Добавьте к этому;Добавьте к этому;Мадагаскар
AMQ;WAPP;Паттимура;Амбон;Индонезия
AMR;;В теме;В теме;Маршалловы острова
AMS;EHAM;Амстердам-Схипхол;Амстердам;Нидерланды
AMT;YAMT;Начинать;Начинать;Австралия
AMU;;Дружелюбный;Дружелюбный;Папуа - Новая Гвинея
AMV;ULDD;Амдерма;Амдерма;Российская Федерация
AMW;KAMW;Эймс;Эймс;Соединенные Штаты
AMX;YAMM;Аммару;Аммару;Австралия
AMY;FMMB;Янтарь;Янтарь;Мадагаскар
AMZ;NZAR;Ардмор;Ардмор;Новая Зеландия
ANA;KANA;Вертодром для утилизации стали округа Ориндж;Анахайм;Соединенные Штаты
ANB;KANB;Эннистон Метрополитен;Аннистон;Соединенные Штаты
ANC;PANC;Международный аэропорт Теда Стивенса Анкориджа;Анкоридж;Соединенные Штаты
AND;KAND;Андерсон;Андерсон;Соединенные Штаты
ANE;LFJR;марши;Анже;Франция
ANF;SCFA;коричневый холм;Антофагаста;Чили
ANG;LFBU;Бри-Шамнье;Ангулем;Франция
ANH;;Ануха Айленд Резорт;Ануха Айленд Резорт;Соломоновы острова
ANI;PANI;Аниак;Аниак;Соединенные Штаты
ANJ;FCBZ;Занага;Занага;Конго
ANK;LTAD;Этимесгут;Анкара;Турция
ANL;FNAL;Ангел;Ангел;Ангола
ANM;FMNH;Анцирабато;Анталаха;Мадагаскар
ANN;PANT;Остров Аннет;Остров Аннет;Соединенные Штаты
ANO;FQAG;Только;Только;Мозамбик
ANP;KANP;Ли;Аннаполис;Соединенные Штаты
ANQ;KANQ;Штойбен-Сити, штат Три штата;Ангола;Соединенные Штаты
ANR;EBAW;Дорн;Антверпен;Бельгия
ANS;SPHY;Андауайлас;Андауайлас;Перу
ANT;PHKO;Санкт-Антон;Санкт-Антон;Австрия
ANU;TAPA;Международный аэропорт В. К. Берд;Сент-Джонс;Антигуа и Барбуда
ANV;PANV;Подход;Подход;Соединенные Штаты
ANW;KANW;Эйнсворт;Эйнсворт;Соединенные Штаты
ANX;ENAN;Анденес;Анденес;Норвегия
ANY;KANY;Энтони;Энтони;Соединенные Штаты
ANZ;;Ангус Даунс;Ангус Даунс;Австралия
AOA;;эра;эра;Папуа - Новая Гвинея
AOB;;Аннанберг;Аннанберг;Папуа - Новая Гвинея
AOC;EDAC;Альтенбург Нобитц;Альтенбург;Германия
AOD;;Абу Дейя;Абу Дейя;Чад
AOE;OPKC;Университет Анадолу;Эскишехир;Турция
AOG;ZYAS;Аньшань;Аньшань;Китай
AOH;KAOH;Аллен Каунти;Пять;Соединенные Штаты
AOI;LIPY;Фальконара;Анкона;Италия
AOJ;RJSA;Аомори;Аомори;Япония
AOK;LGKP;Карпатос;Карпатос;Греция
AOL;SARL;Прохождение бесплатного;Прохождение бесплатного;Аргентина
AON;;Аарон;Аарон;Соломоновы острова
AOO;KAOO;Мартинсбург;Мартинсбург;Соединенные Штаты
AOR;WMKA;Алор Сетар;Алор Сетар;Малайзия
AOS;HTDA;Амук;Амук;Соединенные Штаты
AOT;LIMW;Конрад Гекс;Аоста;Италия
AOU;VLAP;сверху;сверху;Лаос
APA;KAPA;Арапахо Ко;Денвер;Соединенные Штаты
APB;SLAP;Аполлон;Аполлон;Боливия
APC;KAPC;Округ Напа;Напа;Соединенные Штаты
APE;SPAO;Апартаменты «Сан-Хуан»;Апартаменты «Сан-Хуан»;Перу
APF;KAPF;Неаполь;Неаполь;Соединенные Штаты
APG;KAPG;Филлипс ААФ;Абердин;Соединенные Штаты
APH;KAPH;Кэмп А. П. Хилл;Боулинг Грин;Соединенные Штаты
API;SKAP;Апиай;Апиай;Колумбия
APK;NTGD;Следовать за;Следовать за;Французская Полинезия
APL;FQNP;нампула;нампула;Мозамбик
APN;KAPN;Региональный округ Алпена;Алпена;Соединенные Штаты
APO;SKLC;Почтовый ящик;Почтовый ящик;Колумбия
APP;;Асаф;Асаф;Папуа - Новая Гвинея
APQ;SNAL;Арапирака;Арапирака;Бразилия
APR;;Апрельская река;Апрельская река;Папуа - Новая Гвинея
APS;SWNS;Аннаполис;Аннаполис;Бразилия
APT;KAPT;Округ Мэрион;Джаспер;Соединенные Штаты
APU;SSAP;Апукарана;Апукарана;Бразилия
APV;KAPV;Яблочная долина;Яблочная долина;Соединенные Штаты
APW;NSFA;Склад;Апиа;Самоа
APX;SSOG;Арапонгас;Арапонгас;Бразилия
APY;SNAI;Альто Парнаиба;Альто Парнаиба;Бразилия
APZ;SAHZ;загорается;загорается;Аргентина
AQA;SBAQ;Араракуара;Араракуара;Бразилия
AQB;MGQC;Киш аэропорт;Киш;Гватемала
AQG;ZSAQ;Аньцин;Аньцин;Китай
AQI;OEPA;Кайсумах;Кайсумах;Саудовская Аравия
AQJ;OJAQ;Международный имени короля Хусейна;Акаба;Иордания
AQM;SWNI;Арикемес;Арикемес;Бразилия
AQP;SPQU;Родригес Баллон;Арекипа;Перу
AQS;;Сакани;Сакани;Фиджи
AQY;KAQY;Алеска;Алеска;Соединенные Штаты
ARA;KARA;Акадиана Региональная;Новая Иберия;Соединенные Штаты
ARB;KARB;Муниципальный;Анн-Арбор, Мичиган;Соединенные Штаты
ARC;PARC;Арктическая деревня;Арктическая деревня;Соединенные Штаты
ARD;WATM;Остров Алор;Остров Алор;Индонезия
ARE;TJAB;Аресибо;Аресибо;Пуэрто-Рико
ARF;;ласкать;ласкать;Колумбия
ARG;KARG;Уолнат-Ридж;Уолнат-Ридж;Соединенные Штаты
ARH;ULAA;Вызывать;Архангельск;Российская Федерация
ARI;SCAR;Чакаллута;Арика;Чили
ARJ;WAJA;Арсо;Арсо;Индонезия
ARK;HTAR;Аруша;Аруша;Танзания
ARL;DFER;Арли;Арли;Буркина-Фасо
ARM;YARM;Армидейл;Армидейл;Австралия
ARN;ESSA;Арланда;Стокгольм;Швеция
ARO;;деревья;деревья;Колумбия
ARP;;Арагип;Арагип;Папуа - Новая Гвинея
ARQ;SKAT;Араукита;Араукита;Колумбия
ARR;SAVR;Река Верхний Сенгер;Река Верхний Сенгер;Аргентина
ARS;SWEC;Арагаркас;Арагаркас;Бразилия
ART;KART;Уотертаун;Уотертаун;Соединенные Штаты
ARU;SBAU;Аракатуба;Аракатуба;Бразилия
ARV;KARV;Нобл Ф. Ли;Миноква;Соединенные Штаты
ARW;LRAR;Арад;Арад;Румыния
ARX;SBAC;Эсбери Парк;Нептун, Нью-Джерси;Соединенные Штаты
ARY;YARA;Арарат;Арарат;Австралия
ASA;HHSB;Асэб Интернэшнл;Асэб;Эритрея
ASB;UTAA;Ашхабад;Ашхабад;Туркменистан
ASC;SLAS;Вознесение;Вознесение;Боливия
ASD;MYAF;Андрос Таун;Андрос Таун;Багамы
ASE;KASE;Аспен;Аспен;Соединенные Штаты
ASF;URWA;Астрахань;Астрахань;Российская Федерация
ASG;NZAS;Эшбертон;Эшбертон;Новая Зеландия
ASH;KASH;Питьевое поле;Нашуа, МАЛЫЙ;Соединенные Штаты
ASI;FHAW;Широкое поле;Джорджтаун, Остров Вознесения;Святая Елена
ASJ;RJKA;Амами О Шима;Амами О Шима;Япония
ASK;DIYO;Ямусукро;Ямусукро;Кот-д'Ивуар
ASL;KASL;округ Харрисон;Маршалл;Соединенные Штаты
ASM;HHAS;Yohannes IV;романтика;Эритрея
ASN;KASN;Талладега;Талладега;Соединенные Штаты
ASO;HASO;Воскресенье;Воскресенье;Эфиопия
ASP;YBAS;Алис-Спрингс;Алис-Спрингс;Австралия
ASQ;KTMT;Остин;Остин;Соединенные Штаты
ASR;LTAU;Международный аэропорт Эркилет;Кайсери;Турция
AST;KAST;Астория;Астория;Соединенные Штаты
ASU;SGAS;Сильвио Петтиросси;Асунсьон;Парагвай
ASV;HKAM;Амбосели;Амбосели;Кения
ASW;HESN;Асуан;Асуан;Египет
ASX;KASX;Эшленд;Эшленд;Соединенные Штаты
ASY;KASY;Эшли;Эшли;Соединенные Штаты
ASZ;;Асирим;Асирим;Папуа - Новая Гвинея
ATA;SPHZ;Анта;Анта;Перу
ATB;HSAT;Атбара;Атбара;Судан
ATD;AGAT;Атофи;Атофи;Соломоновы острова
ATE;KATE;Рога;Рога;Соединенные Штаты
ATF;SEAM;Чачоан;Намекать;Эквадор
ATG;SPAY;Атток;Атток;Пакистан
ATH;LGAV;Элефтериос Венизелос;Афины;Греция
ATI;SUAG;Артигас;Артигас;Уругвай
ATJ;FMME;Анцирабе;Анцирабе;Мадагаскар
ATK;PATQ;Атказук;Атказук;Соединенные Штаты
ATL;KATL;Хартсфилд-Джексон Атланта Интернэшнл;Атланта, Джорджия;Соединенные Штаты
ATM;SBHT;Альтамира;Альтамира;Бразилия
ATN;;Наматанай;Наматанай;Папуа - Новая Гвинея
ATO;KUNI;Университет Огайо;Афины;Греция
ATP;;Взлетно-посадочная полоса;Отдать это;Папуа - Новая Гвинея
ATQ;VIAR;Раджа Санси;Амритсар;Индия
ATR;GQPA;Муакшот;Атар;Мавритания
ATS;KATS;Артезия;Артезия;Соединенные Штаты
ATT;;Атмаутлуак;Атмаутлуак;Соединенные Штаты
ATU;PAAT;Каско Коув;Остров Акта;Соединенные Штаты
ATV;FTTI;У нас были;У нас были;Чад
ATW;KATW;Округ Аутэгами;Эпплтон;Соединенные Штаты
ATX;;Атбасар;Атбасар;Казахстан
ATY;KATY;Уотертаун;Уотертаун;Соединенные Штаты
ATZ;HEAT;Асьют;Асьют;Египет
AUA;TNCA;Рейна Беатрикс;Аруба;Аруба
AUB;EDXY;Итауба;Итауба;Бразилия
AUC;SKUC;араука;араука;Колумбия
AUD;YAGD;Огастес Даунс;Огастес Даунс;Австралия
AUE;;Абу Рудейс;Абу Рудейс;Египет
AUF;LFLA;Осер Филиалы;Осер;Франция
AUG;KAUG;Августа;Августа;Соединенные Штаты
AUH;OMAA;Абу-Даби Интернэшнл;Абу Даби;Объединенные Арабские Эмираты
AUI;;Потому что остров;Потому что остров;Папуа - Новая Гвинея
AUJ;;засада;засада;Папуа - Новая Гвинея
AUK;PAUK;Алаканук;Алаканук;Соединенные Штаты
AUL;;Остров Аур;Остров Аур;Маршалловы острова
AUM;KAUM;Остин;Остин;Соединенные Штаты
AUN;KAUN;Оберн;Оберн;Соединенные Штаты
AUO;KAUO;Оберн-Опелика;Оберн;Соединенные Штаты
AUP;AYAG;Агун;Агун;Папуа - Новая Гвинея
AUQ;NTMN;Остров;Остров;Французская Полинезия
AUR;LFLW;Орийак;Орийак;Франция
AUT;WPAT;Полотенце;Полотенце;Индонезия
AUU;YAUR;Миссия Аурукун;Миссия Аурукун;Австралия
AUV;EDXY;Амо;Амо;Папуа - Новая Гвинея
AUW;KAUW;Муниципальный;Ваусау;Соединенные Штаты
AUX;SWGN;Арагуайна;Арагуайна;Бразилия
AUY;NVVA;Анейтьюм;Анейтьюм;Вануату
AUZ;KARR;Муниципальный аэропорт;Аврора;Соединенные Штаты
AVA;;Ань Шунь/Хуан Го Шу;Ан Шун;Китай
AVB;LIPA;Авиано;Авиано;Италия
AVF;;Авориаз;Авориаз;Франция
AVG;YAUV;Овернь;Овернь;Австралия
AVI;MUCA;Максимо Гомес;Сьего де Авила;Куба
AVK;ZMAH;Арвайхеер;Арвайхеер;Монголия
AVL;KAVL;Региональный аэропорт Эшвилла;Флетчер;Соединенные Штаты
AVN;LFMV;Авиньон-Каум;Авиньон;Франция
AVO;KAVO;Муниципальный;Эйвон Парк;Соединенные Штаты
AVP;KAVP;Международный аэропорт Уилкс-Барре/Скрэнтон;Уилкс-Барре/Скрэнтон, Пенсильвания;Соединенные Штаты
AVU;AGGJ;Ава Ава;Ава Ава;Соломоновы острова
AVV;YMAV;Авалон;Джилонг;Австралия
AVW;KAVQ;Долина Авра;Тусон;Соединенные Штаты
AVX;KAVX;Авалон Бэй;Остров Каталина;Соединенные Штаты
AWA;HALA;В Аве;В Аве;Эфиопия
